package	role	start_here	owns	usually_coupled_to
kirby2	legacy CLI and top-level compatibility entry	kirby2/__main__.py;kirby2/__init__.py	legacy parser;version;top-level demos	cli;scenarios;audit
cli	declarative expansion command routing	kirby2/cli/registry.py;kirby2/cli/expansion.py	CommandSpec;CommandModule;CommandRegistry	all package commands;audit provenance
simulation	deterministic clock RNG distributions and synthetic order flow	kirby2/simulation/rng.py;kirby2/simulation/flow.py;kirby2/simulation/flow_models.py	simulation primitives;flow events;intensity modifiers	exchange;scenarios;full_day;calibration
exchange	FIFO book auctions and advanced market mechanics	kirby2/exchange/models.py;kirby2/exchange/book.py;kirby2/exchange/mechanics_engine.py	orders;fills;trades;session mechanics;mechanics replay	session;simulation;full_day;latency;multivenue
player	player position and cash accounting	kirby2/player/position.py	position state and fill reconciliation	exchange;session
session	interactive event journal records live runtime replay and scoring	kirby2/session/events.py;kirby2/session/live.py;kirby2/session/records.py	interactive run semantics and replay	exchange;strategy;features;ui;research
features	observable feature computation and inspection	kirby2/features/models.py;kirby2/features/engine.py	feature windows and values	strategy;session;historical
strategy	traffic-light language state machine and runtime	kirby2/strategy/language.py;kirby2/strategy/state_machine.py;kirby2/strategy/runtime.py	GO WAIT NO-TRADE policy evaluation	features;session;experiments
ui	terminal execution trainer	kirby2/ui/terminal.py	keyboard-first local presentation and actions	session;strategy;release
scenarios	accepted synthetic scenario construction and matrix	kirby2/scenarios/market.py;kirby2/scenarios/accepted_scenarios.json	ScenarioDefinition;market-engine composition	simulation;exchange;audit;release
experiments	deterministic scenario-strategy experiment runner	kirby2/experiments/models.py;kirby2/experiments/runner.py	experiment matrices and results	scenarios;strategy;research
full_day	whole-day plan scheduler components checkpoints restore and immutable store	kirby2/full_day/models.py;kirby2/full_day/runtime.py;kirby2/full_day/store.py	FullDayPlanV1;ordered work;events;checkpoints;run artifacts	exchange;simulation;algorithms;multivenue;research;audit
research	governed data paths immutable run ledger DuckDB tables	kirby2/research/paths.py;kirby2/research/models.py;kirby2/research/store.py	DataPaths;RunManifest;artifact registry;research queries	all stores;packs;orchestration;release
marketdata	capability-honest local market-data normalization and store	kirby2/marketdata/models.py;kirby2/marketdata/normalization.py;kirby2/marketdata/store.py	source capabilities;normalized records;quality reports	historical;calibration;research
historical	exact replay reconstruction evidence labels and lessons	kirby2/historical/models.py;kirby2/historical/runner.py;kirby2/historical/features.py	historical provenance;replay/reconstruction;lesson runtime	marketdata;session;microscope;mining
calibration	normalization descriptive measurements and parameter fitting	kirby2/calibration/models.py;kirby2/calibration/normalization.py;kirby2/calibration/runtime.py	measurement reports;profiles;holdout evaluations	marketdata;simulation;research
latency	asynchronous order lifecycle and deterministic latency profiles	kirby2/latency/models.py;kirby2/latency/engine.py;kirby2/latency/replay.py	client/exchange delay state and races	exchange;session;full_day;algorithms
observability	hidden liquidity and observable projection boundary	kirby2/observability/models.py;kirby2/observability/queue.py;kirby2/observability/replay.py	visible/reveal-only queue state and replay	exchange;features;microscope
multivenue	fragmented venues routing and cross-venue reconciliation	kirby2/multivenue/models.py;kirby2/multivenue/coordinator.py;kirby2/multivenue/routers.py	venue state;routers;NBBO-like diagnostics	exchange;latency;algorithms;counterfactual
algorithms	observable-only execution algorithms benchmark and immutable run store	kirby2/algorithms/models.py;kirby2/algorithms/benchmark.py;kirby2/algorithms/store.py	algorithm decisions;benchmark results;algorithm run artifacts	multivenue;latency;full_day;research
counterfactual	immutable parent-bound execution branches and timing sweeps	kirby2/counterfactual/models.py;kirby2/counterfactual/session.py;kirby2/counterfactual/store.py	mutation manifests;branch reports;parent linkage	session;algorithms;multivenue;research
agents	deterministic synthetic participant ecology	kirby2/agents/models.py;kirby2/agents/ecology.py;kirby2/agents/replay.py	agent populations;owned RNG;ecology recordings	simulation;exchange;full_day
scenario_lang	data-only scenario source compiler resolution and semantic identity	kirby2/scenario_lang/models.py;kirby2/scenario_lang/compiler.py;kirby2/scenario_lang/identity.py	source schemas;imports;resolved plans;seed derivation	full_day;packs;cli
curriculum	adaptive curriculum learner evidence skills and plans	kirby2/curriculum/models.py;kirby2/curriculum/learner.py;kirby2/curriculum/plans.py	learner state;lesson selection;curriculum evidence	mining;historical;instructor;packs
mining	deterministic drill candidate detectors ranking review and lesson build	kirby2/mining/models.py;kirby2/mining/runtime.py;kirby2/mining/detectors.py	candidate extraction;deduplication;review sidecars	full_day;curriculum;historical;research
discovery	bounded strategy search lineage evaluation robustness and store	kirby2/discovery/ast.py;kirby2/discovery/search.py;kirby2/discovery/lineage.py	candidate AST;lineage;partitioned evaluation;overfit labels	strategy;experiments;research;packs
instructor	consent-bound pseudonymous research and teaching console	kirby2/instructor/models.py;kirby2/instructor/console.py;kirby2/instructor/consent.py	assignments;cohorts;rubrics;studies;exports;deletion	curriculum;research;release
microscope	source-linked causal replay analysis and offline report	kirby2/microscope/models.py;kirby2/microscope/ingestion.py;kirby2/microscope/report.py	trace lineage;panes;annotations;self-contained reports	session;historical;observability;research;release
packs	canonical data-only portable artifacts hostile preflight staging and install	kirby2/packs/formats.py;kirby2/packs/identity.py;kirby2/packs/archive.py;kirby2/packs/install.py	pack identity;transport;domain adapters;registry/CAS	all portable domains;research;orchestration;release
orchestration	deterministic logical work and verified local/LAN execution	kirby2/orchestration/models.py;kirby2/orchestration/protocol.py;kirby2/orchestration/coordinator.py	work IDs;attempts;leases;transfer;results;recovery;aggregation	packs;research;full_day;release
release	offline paths migrations recovery backup diagnostics packaging qualification and closeout	kirby2/release/platform_paths.py;kirby2/release/build.py;kirby2/release/qualification.py;kirby2/release/commands.py	release protocols;artifact manifests;performance;closeout	all shipped domains;research;packs;orchestration
audit	domain-specific executable invariants and expansion gates	kirby2/audit/invariants.py;kirby2/audit/expansion.py	independent acceptance checks and gate projection	all production packages;auditlab
auditlab	generative adversarial fault determinism provenance and immutable audit packets	kirby2/auditlab/models.py;kirby2/auditlab/runner.py;kirby2/auditlab/store.py	model-risk cases;fault oracle;packets;acceptance sidecars	audit;research;all provenance-bound packages
